matchup_id,player_a,player_b,model,result
0,Kareem Abdul-Jabbar,Ray Allen,gemma3:12b,Kareem Abdul-Jabbar
1,Kareem Abdul-Jabbar,Giannis Antetokounmpo,gemma3:12b,Kareem Abdul-Jabbar
2,Kareem Abdul-Jabbar,Carmelo Anthony,gemma3:12b,Kareem Abdul-Jabbar
3,Kareem Abdul-Jabbar,Nate Archibald,gemma3:12b,Kareem Abdul-Jabbar
4,Kareem Abdul-Jabbar,Paul Arizin,gemma3:12b,Kareem Abdul-Jabbar
5,Kareem Abdul-Jabbar,Charles Barkley,gemma3:12b,Kareem Abdul-Jabbar
6,Kareem Abdul-Jabbar,Rick Barry,gemma3:12b,Kareem Abdul-Jabbar
7,Kareem Abdul-Jabbar,Elgin Baylor,gemma3:12b,Kareem Abdul-Jabbar
8,Kareem Abdul-Jabbar,Dave Bing,gemma3:12b,Kareem Abdul-Jabbar
9,Kareem Abdul-Jabbar,Larry Bird,gemma3:12b,Kareem Abdul-Jabbar
10,Kareem Abdul-Jabbar,Kobe Bryant,gemma3:12b,Kareem Abdul-Jabbar
11,Kareem Abdul-Jabbar,Wilt Chamberlain,gemma3:12b,Kareem Abdul-Jabbar
12,Kareem Abdul-Jabbar,Bob Cousy,gemma3:12b,Kareem Abdul-Jabbar
13,Kareem Abdul-Jabbar,Dave Cowens,gemma3:12b,Kareem Abdul-Jabbar
14,Kareem Abdul-Jabbar,Billy Cunningham,gemma3:12b,Kareem Abdul-Jabbar
15,Kareem Abdul-Jabbar,Stephen Curry,gemma3:12b,Kareem Abdul-Jabbar
16,Kareem Abdul-Jabbar,Anthony Davis,gemma3:12b,Kareem Abdul-Jabbar
17,Kareem Abdul-Jabbar,Dave DeBusschere,gemma3:12b,Kareem Abdul-Jabbar
18,Kareem Abdul-Jabbar,Clyde Drexler,gemma3:12b,Kareem Abdul-Jabbar
19,Kareem Abdul-Jabbar,Tim Duncan,gemma3:12b,Kareem Abdul-Jabbar
20,Kareem Abdul-Jabbar,Kevin Durant,gemma3:12b,Kareem Abdul-Jabbar
21,Kareem Abdul-Jabbar,Julius Erving,gemma3:12b,Kareem Abdul-Jabbar
22,Kareem Abdul-Jabbar,Patrick Ewing,gemma3:12b,Kareem Abdul-Jabbar
23,Kareem Abdul-Jabbar,Walt Frazier,gemma3:12b,Kareem Abdul-Jabbar
24,Kareem Abdul-Jabbar,Kevin Garnett,gemma3:12b,Kareem Abdul-Jabbar
25,Kareem Abdul-Jabbar,George Gervin,gemma3:12b,Kareem Abdul-Jabbar
26,Kareem Abdul-Jabbar,Hal Greer,gemma3:12b,Kareem Abdul-Jabbar
27,Kareem Abdul-Jabbar,James Harden,gemma3:12b,Kareem Abdul-Jabbar
28,Kareem Abdul-Jabbar,John Havlicek,gemma3:12b,Kareem Abdul-Jabbar
29,Kareem Abdul-Jabbar,Elvin Hayes,gemma3:12b,Kareem Abdul-Jabbar
30,Kareem Abdul-Jabbar,Allen Iverson,gemma3:12b,Kareem Abdul-Jabbar
31,Kareem Abdul-Jabbar,LeBron James,gemma3:12b,Kareem Abdul-Jabbar
32,Kareem Abdul-Jabbar,Magic Johnson,gemma3:12b,Kareem Abdul-Jabbar
33,Kareem Abdul-Jabbar,Sam Jones,gemma3:12b,Kareem Abdul-Jabbar
34,Kareem Abdul-Jabbar,Michael Jordan,gemma3:12b,Michael Jordan
35,Kareem Abdul-Jabbar,Jason Kidd,gemma3:12b,Kareem Abdul-Jabbar
36,Kareem Abdul-Jabbar,Kawhi Leonard,gemma3:12b,Kareem Abdul-Jabbar
37,Kareem Abdul-Jabbar,Damian Lillard,gemma3:12b,Kareem Abdul-Jabbar
38,Kareem Abdul-Jabbar,Jerry Lucas,gemma3:12b,Kareem Abdul-Jabbar
39,Kareem Abdul-Jabbar,Karl Malone,gemma3:12b,Kareem Abdul-Jabbar
40,Kareem Abdul-Jabbar,Moses Malone,gemma3:12b,Kareem Abdul-Jabbar
41,Kareem Abdul-Jabbar,Pete Maravich,gemma3:12b,Kareem Abdul-Jabbar
42,Kareem Abdul-Jabbar,Bob McAdoo,gemma3:12b,Kareem Abdul-Jabbar
43,Kareem Abdul-Jabbar,Kevin McHale,gemma3:12b,Kareem Abdul-Jabbar
44,Kareem Abdul-Jabbar,George Mikan,gemma3:12b,Kareem Abdul-Jabbar
45,Kareem Abdul-Jabbar,Reggie Miller,gemma3:12b,Kareem Abdul-Jabbar
46,Kareem Abdul-Jabbar,Earl Monroe,gemma3:12b,Kareem Abdul-Jabbar
47,Kareem Abdul-Jabbar,Steve Nash,gemma3:12b,Kareem Abdul-Jabbar
48,Kareem Abdul-Jabbar,Dirk Nowitzki,gemma3:12b,Kareem Abdul-Jabbar
49,Kareem Abdul-Jabbar,Hakeem Olajuwon,gemma3:12b,Kareem Abdul-Jabbar
50,Kareem Abdul-Jabbar,Shaquille O'Neal,gemma3:12b,Kareem Abdul-Jabbar
51,Kareem Abdul-Jabbar,Robert Parish,gemma3:12b,Kareem Abdul-Jabbar
52,Kareem Abdul-Jabbar,Chris Paul,gemma3:12b,Kareem Abdul-Jabbar
53,Kareem Abdul-Jabbar,Gary Payton,gemma3:12b,Kareem Abdul-Jabbar
54,Kareem Abdul-Jabbar,Bob Pettit,gemma3:12b,Kareem Abdul-Jabbar
55,Kareem Abdul-Jabbar,Paul Pierce,gemma3:12b,Kareem Abdul-Jabbar
56,Kareem Abdul-Jabbar,Scottie Pippen,gemma3:12b,Kareem Abdul-Jabbar
57,Kareem Abdul-Jabbar,Willis Reed,gemma3:12b,Kareem Abdul-Jabbar
58,Kareem Abdul-Jabbar,Oscar Robertson,gemma3:12b,Kareem Abdul-Jabbar
59,Kareem Abdul-Jabbar,David Robinson,gemma3:12b,Kareem Abdul-Jabbar
60,Kareem Abdul-Jabbar,Dennis Rodman,gemma3:12b,Kareem Abdul-Jabbar
61,Kareem Abdul-Jabbar,Bill Russell,gemma3:12b,Kareem Abdul-Jabbar
62,Kareem Abdul-Jabbar,Dolph Schayes,gemma3:12b,Kareem Abdul-Jabbar
63,Kareem Abdul-Jabbar,Bill Sharman,gemma3:12b,Kareem Abdul-Jabbar
64,Kareem Abdul-Jabbar,John Stockton,gemma3:12b,Kareem Abdul-Jabbar
65,Kareem Abdul-Jabbar,Isiah Thomas,gemma3:12b,Kareem Abdul-Jabbar
66,Kareem Abdul-Jabbar,Nate Thurmond,gemma3:12b,Kareem Abdul-Jabbar
67,Kareem Abdul-Jabbar,Wes Unseld,gemma3:12b,Kareem Abdul-Jabbar
68,Kareem Abdul-Jabbar,Dwyane Wade,gemma3:12b,Kareem Abdul-Jabbar
69,Kareem Abdul-Jabbar,Bill Walton,gemma3:12b,Kareem Abdul-Jabbar
70,Kareem Abdul-Jabbar,Jerry West,gemma3:12b,Kareem Abdul-Jabbar
71,Kareem Abdul-Jabbar,Russell Westbrook,gemma3:12b,Kareem Abdul-Jabbar
72,Kareem Abdul-Jabbar,Lenny Wilkens,gemma3:12b,Kareem Abdul-Jabbar
73,Kareem Abdul-Jabbar,Dominique Wilkins,gemma3:12b,Kareem Abdul-Jabbar
74,Kareem Abdul-Jabbar,James Worthy,gemma3:12b,Kareem Abdul-Jabbar
75,Kareem Abdul-Jabbar,Chris Bosh,gemma3:12b,Kareem Abdul-Jabbar
76,Kareem Abdul-Jabbar,Dwight Howard,gemma3:12b,Kareem Abdul-Jabbar
77,Kareem Abdul-Jabbar,Yao Ming,gemma3:12b,Kareem Abdul-Jabbar
78,Kareem Abdul-Jabbar,Tracy McGrady,gemma3:12b,Kareem Abdul-Jabbar
79,Kareem Abdul-Jabbar,Vince Carter,gemma3:12b,Kareem Abdul-Jabbar
80,Kareem Abdul-Jabbar,Alonzo Mourning,gemma3:12b,Kareem Abdul-Jabbar
81,Kareem Abdul-Jabbar,Dikembe Mutombo,gemma3:12b,Kareem Abdul-Jabbar
82,Kareem Abdul-Jabbar,Grant Hill,gemma3:12b,Kareem Abdul-Jabbar
